link;name;location;company;vacancy_date;date_of_download
https://rabota.sber.ru/search/4215995;Главный эксперт по цифровым технологиям аудита;г Москва;ПАО Сбербанк;2023-10-05;2023-10-16
https://rabota.sber.ru/search/4191306;Intern Data Scientist;г Москва;ПАО Сбербанк;2023-10-13;2023-10-16
https://rabota.sber.ru/search/4107077;Middle ML Engineer;г Москва;ПАО Сбербанк;2023-01-16;2023-10-16
https://rabota.sber.ru/search/4215927;Системный аналитик DWH;г Москва;ПАО Сбербанк;2023-10-03;2023-10-16
https://rabota.sber.ru/search/4215832;Системный аналитик;г Москва;ПАО Сбербанк;2023-10-03;2023-10-16
https://rabota.sber.ru/search/4218281;Backend-разработчик (JS, SQL);г Москва;ПАО Сбербанк;2023-10-10;2023-10-16
https://rabota.sber.ru/search/4213647;QA engineer (Hadoop);г Москва;ПАО Сбербанк;2023-10-12;2023-10-16
https://rabota.sber.ru/search/4211524;Project Manager Sber AI Lab;г Москва;ПАО Сбербанк;2023-09-20;2023-10-16
https://rabota.sber.ru/search/4216067;Ведущий инженер по сопровождению;г Москва;ПАО Сбербанк;2023-10-04;2023-10-16
https://rabota.sber.ru/search/4209467;Эскперт по клиентскому опыту;г Москва;ПАО Сбербанк;2023-09-19;2023-10-16
https://rabota.sber.ru/search/4211538;Руководитель проектов (внедрение AI в сегменте В2С);г Москва;ПАО Сбербанк;2023-09-26;2023-10-16
https://rabota.sber.ru/search/4209484;Java разработчик (ЦАРС);г Самара, Самарская область;ПАО Сбербанк;2023-10-05;2023-10-16
https://rabota.sber.ru/search/4207339;"Tech Lead (команды ""Данные DWH"" и ""Развитие DWH"")";г Москва;ПАО Сбербанк;2023-10-13;2023-10-16
https://rabota.sber.ru/search/4218906;Customer Journey Expert СберПрайм;г Москва;ПАО Сбербанк;2023-10-12;2023-10-16
https://rabota.sber.ru/search/4213243;Middle QA Engineer;г Сочи, Краснодарский край;ПАО Сбербанк;2023-09-28;2023-10-16
https://rabota.sber.ru/search/4214433;Senior Java разработчик;г Москва;ПАО Сбербанк;2023-09-28;2023-10-16
https://rabota.sber.ru/search/4218021;Data-Аналитик;г Москва;ПАО Сбербанк;2023-10-13;2023-10-16
https://rabota.sber.ru/search/4204942;Senior Java Developer;г Москва;ПАО Сбербанк;2023-10-09;2023-10-16
https://rabota.sber.ru/search/4218955;Data Scientist NLP (Global markets);г Москва;ПАО Сбербанк;2023-10-13;2023-10-16
https://rabota.sber.ru/search/4217904;SQL разработчик;г Москва;ПАО Сбербанк;2023-10-09;2023-10-16
https://rabota.sber.ru/search/4217986;Системный аналитик;г Рязань, Рязанская область;ПАО Сбербанк;2023-10-10;2023-10-16
https://rabota.sber.ru/search/4211366;QA Load Test (SberTeamID);г Москва;ПАО Сбербанк;2023-09-19;2023-10-16
https://rabota.sber.ru/search/4210307;Разработчик_ML DevOps;г Москва;ПАО Сбербанк;2023-09-27;2023-10-16
https://rabota.sber.ru/search/4213222;Senior DWH/BI Engineer (Postgresql);г Москва;ПАО Сбербанк;2023-09-26;2023-10-16
https://rabota.sber.ru/search/4210829;Руководитель направления «Синергия B2B2C»;г Санкт-Петербург;ПАО Сбербанк;2023-09-19;2023-10-16
https://rabota.sber.ru/search/4212571;Senior Java developer;г Москва;ПАО Сбербанк;2023-09-25;2023-10-16
https://rabota.sber.ru/search/4208950;Разработчик ETL;г Москва;ПАО Сбербанк;2023-09-26;2023-10-16
https://rabota.sber.ru/search/4198593;Senior/TeamLead Java developer;г Нижний Новгород, Нижегородская область;ПАО Сбербанк;2023-10-09;2023-10-16
https://rabota.sber.ru/search/4212717;Главный специалист аналитического управления (Data Analyst);г Санкт-Петербург;ПАО Сбербанк;2023-09-25;2023-10-16
https://rabota.sber.ru/search/4196973;TeamLead/ Senior Python Developer;г Самара, Самарская область;ПАО Сбербанк;2023-10-12;2023-10-16
https://rabota.sber.ru/search/4210706;Product owner DMP (Рекламная платформа);г Москва;ПАО Сбербанк;2023-09-19;2023-10-16
https://rabota.sber.ru/search/4199311;Senior Python developer / Team Lead;г Санкт-Петербург;ПАО Сбербанк;2023-10-12;2023-10-16
https://rabota.sber.ru/search/4215762;Системный аналитик;г Москва;ПАО Сбербанк;2023-10-04;2023-10-16
https://rabota.sber.ru/search/4218479;Middle Data Analyst;г Москва;ПАО Сбербанк;2023-10-12;2023-10-16
https://rabota.sber.ru/search/4212223;Python разработчик;г Москва;ПАО Сбербанк;2023-09-22;2023-10-16
https://rabota.sber.ru/search/4215466;SRE engineer (ЦАРС);г Самара, Самарская область;ПАО Сбербанк;2023-10-03;2023-10-16
https://rabota.sber.ru/search/4207765;Аналитик Soft Collection;г Москва;ПАО Сбербанк;2023-10-10;2023-10-16
https://rabota.sber.ru/search/4205458;Фронт-разработчик (ИСУ);г Москва;ПАО Сбербанк;2023-09-26;2023-10-16
https://rabota.sber.ru/search/4209793;Бизнес-аналитик\ Аналитик данных;г Москва;ПАО Сбербанк;2023-10-13;2023-10-16
https://rabota.sber.ru/search/4141493;Java-разработчик (SberMomentum);г Казань, республика Татарстан;ПАО Сбербанк;2023-10-12;2023-10-16
https://rabota.sber.ru/search/4216677;Data Science специалист;г Москва;ПАО Сбербанк;2023-10-11;2023-10-16
https://rabota.sber.ru/search/4197149;Java-разработчик;г Новосибирск, Новосибирская область;АО Сбербанк-Технологии;2023-10-03;2023-10-16
https://rabota.sber.ru/search/4210662;Middle Fullstack-разработчик (React, Node.JS);г Москва;ПАО Сбербанк;2023-09-18;2023-10-16
https://rabota.sber.ru/search/4178941;Lead ML-инженер;г Екатеринбург, Свердловская область;ПАО Сбербанк;2023-10-12;2023-10-16
https://rabota.sber.ru/search/4211979;Senior/Lead Java-разработчик в SberConnect;г Москва;ПАО Сбербанк;2023-09-21;2023-10-16
https://rabota.sber.ru/search/4197608;Java-разработчик;г Сочи, Краснодарский край;ПАО Сбербанк;2023-09-28;2023-10-16
https://rabota.sber.ru/search/4208742;Data analyst;г Москва;ПАО Сбербанк;2023-09-29;2023-10-16
https://rabota.sber.ru/search/4209736;Data Analyst (Global Markets);г Москва;ПАО Сбербанк;2023-09-17;2023-10-16
https://rabota.sber.ru/search/4213587;Senior Data Analyst;г Москва;ПАО Сбербанк;2023-09-27;2023-10-16
https://rabota.sber.ru/search/4213635;Middle Data Analyst;г Москва;ПАО Сбербанк;2023-10-02;2023-10-16
https://rabota.sber.ru/search/4217304;Стажер Data Analyst;г Москва;ПАО Сбербанк;2023-10-13;2023-10-16
https://rabota.sber.ru/search/4200084;Data Scientist;г Москва;ПАО Сбербанк;2023-10-10;2023-10-16
https://rabota.sber.ru/search/4206736;Middle Data Scientist Sber AI (NLP);г Москва;ПАО Сбербанк;2023-09-25;2023-10-16
https://rabota.sber.ru/search/4144744;Data Scientist;г Сочи, Краснодарский край;ПАО Сбербанк;2023-10-06;2023-10-16
https://rabota.sber.ru/search/4217938;Data Scientist в Блок Риски Сбера;г Москва;ПАО Сбербанк;2023-10-10;2023-10-16
https://rabota.sber.ru/search/4218219;Senior Data Scientist (R&D направление блока риски);г Москва;ПАО Сбербанк;2023-10-11;2023-10-16
https://rabota.sber.ru/search/4219228;Data scientist (Брокерский бизнес);г Казань, республика Татарстан;ПАО Сбербанк;2023-10-12;2023-10-16
https://rabota.sber.ru/search/4217302;Стажер Data Scientist;г Москва;ПАО Сбербанк;2023-10-13;2023-10-16
https://rabota.sber.ru/search/4219511;Data Scientist LLM (Global markets);г Москва;ПАО Сбербанк;2023-10-13;2023-10-16
https://rabota.sber.ru/search/4213591;Data scientist (Управление рисками корпоративных клиентов);г Москва;ПАО Сбербанк;2023-09-26;2023-10-16
https://rabota.sber.ru/search/4215771;Data Scientist;г Калининград, Калининградская область;ПАО Сбербанк;2023-10-09;2023-10-16
https://rabota.sber.ru/search/4200071;Senior Data Scientist;г Москва;ПАО Сбербанк;2023-10-10;2023-10-16
https://rabota.sber.ru/search/4210250;Senior Data Scientist (NLP);г Москва;ПАО Сбербанк;2023-09-28;2023-10-16
https://rabota.sber.ru/search/4213528;Валидатор моделей производных финансовых инструментов (Data Scientist);г Москва;ПАО Сбербанк;2023-10-03;2023-10-16
https://rabota.sber.ru/search/4120349;Data Scientist – Senior;г Москва;ПАО Сбербанк;2023-10-13;2023-10-16
