link;name;location;company;date;date_of_download
https://rabota.sber.ru/search/4208656;Data Scientist (LLM);г Москва;ПАО Сбербанк;12 сентября 2023;2023-10-09
https://rabota.sber.ru/search/4212717;Главный специалист аналитического управления (Data Analyst);г Санкт-Петербург;ПАО Сбербанк;25 сентября 2023;2023-10-09
https://rabota.sber.ru/search/4208989;Системный аналитик (Брокерский бизнес);г Санкт-Петербург;ПАО Сбербанк;12 сентября 2023;2023-10-09
https://rabota.sber.ru/search/4205462;Senior Android разработчик (ИСУ);г Москва;ПАО Сбербанк;13 сентября 2023;2023-10-09
https://rabota.sber.ru/search/4201476;L3 Support Engineer;г Москва;АО Сбербанк-Технологии;11 сентября 2023;2023-10-09
https://rabota.sber.ru/search/4175204;Team Lead ETL;г Москва;ПАО Сбербанк;11 сентября 2023;2023-10-09
https://rabota.sber.ru/search/4206385;DevOps Engineer, Middle / Senior;г Москва;ПАО Сбербанк;15 сентября 2023;2023-10-09
https://rabota.sber.ru/search/4197149;Java-разработчик;г Новосибирск, Новосибирская область;АО Сбербанк-Технологии;03 октября 2023;2023-10-09
https://rabota.sber.ru/search/4210662;Middle Fullstack-разработчик (React, Node.JS);г Москва;ПАО Сбербанк;18 сентября 2023;2023-10-09
https://rabota.sber.ru/search/4205458;Фронт-разработчик (ИСУ);г Москва;ПАО Сбербанк;26 сентября 2023;2023-10-09
https://rabota.sber.ru/search/4207407;Старший дизайнер / Арт-директор в лабораторию нейронаук и поведения человека Сбера;г Москва;ПАО Сбербанк;14 сентября 2023;2023-10-09
https://rabota.sber.ru/search/4209830;Java разработчик (middle);г Санкт-Петербург;ПАО Сбербанк;14 сентября 2023;2023-10-09
https://rabota.sber.ru/search/4207656;Middle Java-разработчик на SmartBridge;г Санкт-Петербург;ПАО Сбербанк;11 сентября 2023;2023-10-09
https://rabota.sber.ru/search/4211979;Senior/Lead Java-разработчик в SberConnect;г Москва;ПАО Сбербанк;21 сентября 2023;2023-10-09
https://rabota.sber.ru/search/4197608;Java-разработчик;г Сочи, Краснодарский край;ПАО Сбербанк;28 сентября 2023;2023-10-09
